I went out with a camera and avoided any copyright infractions
by running outside onto public property to discuss the work
of artists and art on display at Los Angeles area
galleries This was all recorded on the brisk but sunny
Southern California afternoon of March 15 2012 All of these
exhibitions can be easily googled for your viewing pleasure or
revulsion if you really don t like them Instead of
populating a video with images of artworks that must be
licensed I wanted to deliver an immediate informed critical opinion
on each show of note when it was at its
freshest in my mind s eye Galleries discussed here are
Judy Chicago Nye and Brown Camille Rose Garcia Michael Kohn
Gallery Hadley Holliday Taylor De Cordoba Carolyn Casta o Walter
Maciel Rosson Crowe Honor Fraser Blum Poe Gallery Luis De
Jesus Gallery Cherry and Martin Gallery I can also recommend
Delia Brown s show at Angles Gallery my review of
which suffered a case of irredeemable audio  
